Source,Cost,Bed,Bath,Address,City,Size
Trulia,$639,999,5 bd,3ba,13391 Wilson St,Garden Grove, CA,1,477 sqft
Trulia,$679,000,3 bd,2ba,8922 Adah St,Garden Grove, CA,1,872 sqft
Trulia,$599,000,3 bd,3ba,13391 Taft St #6,Garden Grove, CA,1,473 sqft
Trulia,$1,390,000,3 bd,3ba,9872 Stanford Ave,Garden Grove, CA,2,350 sqft
Trulia,$650,000,3 bd,3ba,12345 Quartz Pl,Garden Grove, CA,1,799 sqft
Trulia,$595,000,4 bd,2ba,12971 Aspenwood Ln,Garden Grove, CA,1,536 sqft
Trulia,$639,000,4 bd,2ba,12602 Aspenwood Ln,Garden Grove, CA,1,589 sqft
Trulia,$650,000,3 bd,1ba,10232 Dakota Ave,Garden Grove, CA,1,688 sqft
Trulia,$750,000,4 bd,3ba,12741 Bartlett St,Garden Grove, CA,2,099 sqft
Trulia,$857,000,4 bd,2ba,13871 Elliott Pl,Garden Grove, CA,1,848 sqft
Trulia,$579,000,4 bd,2ba,12772 Arletta Cir,Garden Grove, CA,1,640 sqft
Trulia,$330,000,2 bd,2ba,9761 Acacia Ave #3,Garden Grove, CA,
Trulia,$495,000,3 bd,3ba,12991 Impala Ct,Garden Grove, CA,
Trulia,$410,000,3 bd,3ba,10521 Carol Ln,Garden Grove, CA,
Trulia,$389,900,2 bd,3ba,11021 Cobblestone Ln,Garden Grove, CA,
Trulia,$415,000,2 bd,2ba,12688 Chapman Ave #3405,Garden Grove, CA,
Trulia,$597,000,4 bd,2ba,9872 Aldgate Ave,Garden Grove, CA,
Trulia,$449,000,3 bd,3ba,9726 Ramsgate Plz,Garden Grove, CA,
Trulia,$659,000,,,10212 Malinda Ln,Garden Grove, CA,
Trulia,$4,900,000,,,13551 Harbor Blvd,Garden Grove, CA,
Trulia,$2,850,000,,,10641 Garden Grove Blvd,Garden Grove, CA,
Trulia,$1,029,888,,,8209 Larson Ave,Garden Grove, CA,
Trulia,$375,000,3 bd,3ba,12812 Sussex Cir,Garden Grove, CA,1,320 sqft
Trulia,,2 bd,1ba,Sandra Pl,Garden Grove, CA,1,012 sqft
Trulia,,4 bd,3ba,Mallard Dr,Garden Grove, CA,2,018 sqft
Trulia,,2 bd,2ba,Sussex Cir,Garden Grove, CA,1,008 sqft
Trulia,,2 bd,2ba,Acacia Ave,Garden Grove, CA,1,298 sqft
Trulia,,3 bd,2ba,West St,Garden Grove, CA,1,134 sqft
Trulia,,2 bd,1ba,Magnolia St,Garden Grove, CA,900 sqft
Trulia,,3 bd,2ba,Marty Ln,Garden Grove, CA,1,285 sqft
Trulia,,5 bd,3ba,Marilyn Cir,Garden Grove, CA,2,687 sqft
Trulia,,3 bd,2ba,Ora Dr,Garden Grove, CA,2,147 sqft
Trulia,,5 bd,2ba,Larkin Dr,Garden Grove, CA,2,826 sqft
Trulia,,2 bd,2ba,Hala Way,Garden Grove, CA,1,096 sqft
Trulia,,7 bd,3ba,Morrie Ln,Garden Grove, CA,2,153 sqft
Trulia,,3 bd,2ba,Faye Ave,Garden Grove, CA,1,196 sqft
Trulia,Contact For Estimate,2 bd,2ba,10092 Montecito Plz,Garden Grove, CA,1,001 sqft
Trulia,Contact For Estimate,3 bd,2ba,12811 Sungrove St,Garden Grove, CA,1,049 sqft
Trulia,Contact For Estimate,4 bd,2ba,12541 Sungrove Cir,Garden Grove, CA,1,403 sqft
Trulia,Contact For Estimate,2 bd,2ba,12841 Dungan Ln,Garden Grove, CA,1,170 sqft
Trulia,,4 bd,2ba,Cliffwood Ave,Garden Grove, CA,1,239 sqft
Trulia,Contact For Estimate,4 bd,2ba,12842 Aspenwood Ln,Garden Grove, CA,1,628 sqft
Trulia,Contact For Estimate,2 bd,2ba,12591 Westminster Ave #217,Garden Grove, CA,864 sqft
Trulia,,3 bd,1ba,Choisser Rd,Garden Grove, CA,991 sqft
Trulia,,2 bd,3ba,Hewitt Pl,Garden Grove, CA,1,025 sqft
Trulia,Contact For Estimate,3 bd,2ba,6842 Santa Rita Ave,Garden Grove, CA,1,213 sqft
Trulia,,5 bd,2ba,Adams St,Garden Grove, CA,1,909 sqft
Trulia,,3 bd,2ba,Devonwood Ave,Garden Grove, CA,1,782 sqft
Trulia,Contact For Estimate,3 bd,2ba,13372 Kelly St,Garden Grove, CA,1,139 sqft
Trulia,Contact For Estimate,3 bd,2ba,11192 Gilbert St,Garden Grove, CA,1,670 sqft
Trulia,,4 bd,2ba,Aspenwood Ave,Garden Grove, CA,1,552 sqft
Trulia,,3 bd,2ba,Hopi Rd,Garden Grove, CA,1,161 sqft
Trulia,,3 bd,2ba,Park Ave,Garden Grove, CA,1,307 sqft
Trulia,,4 bd,2ba,Aspenwood Ln,Garden Grove, CA,1,219 sqft
Trulia,,3 bd,2ba,West St,Garden Grove, CA,1,183 sqft
Trulia,,3 bd,1ba,Village Rd,Garden Grove, CA,1,702 sqft
Trulia,Contact For Estimate,4 bd,2ba,13702 Riata St,Garden Grove, CA,1,388 sqft
Trulia,Contact For Estimate,4 bd,3ba,8912 Ernest Fulsom Dr,Garden Grove, CA,2,079 sqft
Trulia,Contact For Estimate,2 bd,2ba,6661 Santa Rita Ave,Garden Grove, CA,1,506 sqft
Trulia,Contact For Estimate,4 bd,2ba,12872 Taylor St,Garden Grove, CA,1,430 sqft
Trulia,,3 bd,2ba,Palma Vista St,Garden Grove, CA,1,125 sqft
Trulia,Contact For Estimate,3 bd,3ba,11126 Camellia Way,Garden Grove, CA,1,948 sqft
Trulia,Contact For Estimate,3 bd,1ba,8541 Chapman Ave,Garden Grove, CA,919 sqft
Trulia,Contact For Estimate,3 bd,2ba,11562 Eudora Ln,Garden Grove, CA,1,616 sqft
Trulia,Contact For Estimate,5 bd,3ba,13288 Michael Rainford Cir,Garden Grove, CA,2,751 sqft
Trulia,Contact For Estimate,5 bd,2ba,12652 Salinaz Dr,Garden Grove, CA,1,312 sqft
Trulia,Contact For Estimate,4 bd,2ba,11302 Clarissa St,Garden Grove, CA,1,781 sqft
Trulia,Contact For Estimate,3 bd,2ba,11382 Barclay Dr,Garden Grove, CA,1,740 sqft
Trulia,Contact For Estimate,3 bd,2ba,12161 Meade St,Garden Grove, CA,2,175 sqft
Trulia,Contact For Estimate,3 bd,2ba,12082 Norma Ln,Garden Grove, CA,1,688 sqft
Trulia,,3 bd,1ba,Hoggan Ave,Garden Grove, CA,925 sqft
Trulia,Contact For Estimate,3 bd,2ba,12001 Kathy Ln,Garden Grove, CA,1,275 sqft
Trulia,Contact For Estimate,4 bd,3ba,10521 Carol Ln,Garden Grove, CA,1,616 sqft
Trulia,Contact For Estimate,4 bd,2ba,12582 Chaparral Dr,Garden Grove, CA,1,119 sqft
Trulia,,3 bd,2ba,Harcourt Ave,Garden Grove, CA,1,720 sqft
Trulia,Contact For Estimate,3 bd,1ba,12952 Ranchero Way,Garden Grove, CA,1,339 sqft
Trulia,Contact For Estimate,3 bd,2ba,9781 Oma Pl,Garden Grove, CA,1,672 sqft
Trulia,Contact For Estimate,4 bd,2ba,12341 9th St,Garden Grove, CA,2,019 sqft
Trulia,Contact For Estimate,2 bd,2ba,12555 Euclid St #56,Garden Grove, CA,1,018 sqft
Trulia,Contact For Estimate,4 bd,3ba,8732 Summercrest Cir,Garden Grove, CA,2,266 sqft
Trulia,Contact For Estimate,1 bd,1ba,12555 Euclid St #112,Garden Grove, CA,752 sqft
Trulia,Contact For Estimate,3 bd,2ba,11362 Salinaz Ave,Garden Grove, CA,1,724 sqft
Trulia,Contact For Estimate,6 bd,6ba,8702 Joyzelle Ave,Garden Grove, CA,3,721 sqft
Trulia,Contact For Estimate,3 bd,1ba,11932 Mac Murray St,Garden Grove, CA,1,029 sqft
Trulia,Contact For Estimate,4 bd,2ba,12602 Volkwood St,Garden Grove, CA,1,592 sqft
Trulia,Contact For Estimate,3 bd,2ba,11292 Woodbury Rd,Garden Grove, CA,1,274 sqft
Trulia,Contact For Estimate,3 bd,2ba,9571 Vons Dr,Garden Grove, CA,1,641 sqft
Trulia,Contact For Estimate,4 bd,3ba,11281 Chapman Ave,Garden Grove, CA,3,250 sqft
Trulia,,4 bd,2ba,Haster St,Garden Grove, CA,1,478 sqft
Trulia,Contact For Estimate,2 bd,3ba,12551 Fletcher Dr,Garden Grove, CA,2,958 sqft
Trulia,Contact For Estimate,4 bd,2ba,14102 Stengel St,Garden Grove, CA,1,322 sqft
Trulia,Contact For Estimate,6 bd,6ba,12641 Josephine St,Garden Grove, CA,2,641 sqft
Trulia,,3 bd,2ba,Keel Ave,Garden Grove, CA,1,219 sqft
Trulia,Contact For Estimate,4 bd,2ba,6502 Trinette Ave,Garden Grove, CA,1,393 sqft
Trulia,Contact For Estimate,4 bd,2ba,11261 Mount Dr,Garden Grove, CA,1,709 sqft
Trulia,Contact For Estimate,3 bd,2ba,14171 Donegal Dr,Garden Grove, CA,1,422 sqft
Trulia,Contact For Estimate,2 bd,2ba,12782 Valencia Way,Garden Grove, CA,2,312 sqft
Trulia,Contact For Estimate,4 bd,2ba,7792 Laurelton Ave,Garden Grove, CA,1,281 sqft
Trulia,Contact For Estimate,3 bd,1ba,13642 Havenwood Dr,Garden Grove, CA,927 sqft
Trulia,Contact For Estimate,4 bd,2ba,12291 Strathmore Dr,Garden Grove, CA,1,382 sqft
Trulia,Contact For Estimate,3 bd,3ba,8570 Lake Knoll Ave #G,Garden Grove, CA,1,740 sqft
Trulia,Contact For Estimate,3 bd,3ba,8451 Larson Ave #3,Garden Grove, CA,1,310 sqft
Trulia,Contact For Estimate,3 bd,1ba,10421 Mildred Ave,Garden Grove, CA,943 sqft
Trulia,Contact For Estimate,3 bd,3ba,13191 Newland St #1,Garden Grove, CA,1,296 sqft
Trulia,Contact For Estimate,3 bd,2ba,10721 Lampson Ave,Garden Grove, CA,1,621 sqft
Trulia,Contact For Estimate,2 bd,2ba,13801 Shirley St #9,Garden Grove, CA,830 sqft
Trulia,Contact For Estimate,3 bd,1ba,12702 Willowood Ave,Garden Grove, CA,976 sqft
Trulia,Contact For Estimate,3 bd,3ba,8570 Lake Knoll Ave #A,Garden Grove, CA,1,741 sqft
Trulia,Contact For Estimate,4 bd,2ba,6802 Park Ave,Garden Grove, CA,1,430 sqft
Trulia,,2 bd,2ba,Newell St,Garden Grove, CA,1,160 sqft
Trulia,Contact For Estimate,4 bd,2ba,11831 Blue Jay Ln,Garden Grove, CA,1,700 sqft
Trulia,Contact For Estimate,,,13071 Coast St,Garden Grove, CA,
Trulia,,3 bd,1ba,Jacalene Ln,Garden Grove, CA,1,251 sqft
Trulia,Contact For Estimate,4 bd,2ba,11602 Dale St,Garden Grove, CA,1,198 sqft
Trulia,Contact For Estimate,2 bd,2ba,10012 Flanner Ave,Garden Grove, CA,1,275 sqft
Trulia,Contact For Estimate,3 bd,2ba,12792 Lemonwood Ln,Garden Grove, CA,1,644 sqft
Trulia,Contact For Estimate,4 bd,2ba,11742 Robert Ln,Garden Grove, CA,1,309 sqft
Trulia,Contact For Estimate,3 bd,2ba,11052 Wakefield Ave,Garden Grove, CA,1,795 sqft
Trulia,Contact For Estimate,4 bd,2ba,5382 Marietta Ave,Garden Grove, CA,1,430 sqft
Trulia,Contact For Estimate,3 bd,2ba,11272 Mount Dr,Garden Grove, CA,1,493 sqft
Trulia,Contact For Estimate,3 bd,2ba,12302 9th St,Garden Grove, CA,1,138 sqft
Trulia,Contact For Estimate,3 bd,2ba,11892 Shetland Rd,Garden Grove, CA,1,555 sqft
Trulia,Contact For Estimate,4 bd,3ba,12626 Morgan Ln,Garden Grove, CA,1,736 sqft
Trulia,Contact For Estimate,2 bd,1ba,11292 Parkside Ln #17,Garden Grove, CA,819 sqft
Trulia,Contact For Estimate,3 bd,1ba,11202 Euclid St,Garden Grove, CA,1,062 sqft
Trulia,Contact For Estimate,3 bd,1ba,11632 Mac Duff St,Garden Grove, CA,946 sqft
Trulia,Contact For Estimate,2 bd,1ba,11325 Parkgreen Ln #104,Garden Grove, CA,819 sqft
Trulia,Contact For Estimate,4 bd,2ba,12345 Harvey Ln,Garden Grove, CA,1,673 sqft
Trulia,Contact For Estimate,3 bd,2ba,12002 Park Ln,Garden Grove, CA,1,434 sqft
Trulia,Contact For Estimate,4 bd,3ba,9292 Melba Dr,Garden Grove, CA,1,816 sqft
Trulia,,3 bd,2ba,Barr Ln,Garden Grove, CA,1,499 sqft
Trulia,Contact For Estimate,4 bd,2ba,13322 Buena Way,Garden Grove, CA,1,479 sqft
Trulia,,1 bd,1ba,Barr Ln,Garden Grove, CA,902 sqft
Trulia,Contact For Estimate,,,13222 Chapman Ave,Garden Grove, CA,
Trulia,Contact For Estimate,,,13212 Chapman Ave,Garden Grove, CA,
Trulia,Contact For Estimate,3 bd,2ba,10872 Vickers Dr,Garden Grove, CA,1,125 sqft
Trulia,,6 bd,3ba,Gloria St,Garden Grove, CA,2,012 sqft
Trulia,Contact For Estimate,2 bd,1ba,13872 La Bonita Ave,Garden Grove, CA,997 sqft
Trulia,Contact For Estimate,3 bd,2ba,12191 Nutwood St,Garden Grove, CA,1,257 sqft
Trulia,,3 bd,2ba,Browning Rd,Garden Grove, CA,1,263 sqft
Trulia,Contact For Estimate,3 bd,2ba,11872 Diamond St,Garden Grove, CA,1,293 sqft
Trulia,Contact For Estimate,3 bd,2ba,10536 Molama Cir,Garden Grove, CA,1,683 sqft
Trulia,,5 bd,2ba,Cerulean Ave,Garden Grove, CA,1,859 sqft
Trulia,,2 bd,2ba,Creek View Dr,Garden Grove, CA,1,020 sqft
