Source,Cost,Bed,Bath,Address,City,Size
Trulia,"$949,000","5 bd","4ba","1367 Starbuck St","Fullerton, CA","3,450 sqft"
Trulia,"$519,000","3 bd","2ba","713 S Woods Ave","Fullerton, CA","1,476 sqft"
Trulia,"$1,250,000","5 bd","3ba","1925 Celeste Ln","Fullerton, CA","3,459 sqft"
Trulia,"$550,000","3 bd","2ba","1213 W Hill Ave","Fullerton, CA","1,850 sqft"
Trulia,"$309,900","2 bd","2ba","4111 Carol Dr #F","Fullerton, CA","945 sqft"
Trulia,"$599,900","3 bd","2ba","2019 W Roberta Ave","Fullerton, CA","2,080 sqft"
Trulia,"$529,500","2 bd","3ba","2342 Applewood Cir #75","Fullerton, CA","1,500 sqft"
Trulia,"$524,900","3 bd","2ba","129 Turner Ave","Fullerton, CA","1,288 sqft"
Trulia,"$559,000","4 bd","2ba","1431 W Woodcrest Ave","Fullerton, CA","1,514 sqft"
Trulia,"$609,900","3 bd","3ba","426 Westchester Pl","Fullerton, CA","2,023 sqft"
Trulia,"$145,000","2 bd","2ba","1201 W Valencia Mesa Dr #104","Fullerton, CA","1,332 sqft"
Trulia,"$529,888","3 bd","2ba","2630 N Harbor Blvd #8","Fullerton, CA","1,994 sqft"
Trulia,"$864,000","4 bd","3ba","1917 Smokewood Ave","Fullerton, CA","2,742 sqft"
Trulia,"$540,000","3 bd","3ba","654 W Houston Ave","Fullerton, CA","1,787 sqft"
Trulia,"$445,000","3 bd","3ba","1534 Windsor Ln","Fullerton, CA","1,652 sqft"
Trulia,"$300,000","2 bd","2ba","1511 S Pomona Ave #A13","Fullerton, CA","1,157 sqft"
Trulia,"$728,000","4 bd","3ba","748 Hillsboro Pl","Fullerton, CA","4,170 sqft"
Trulia,"$660,000","4 bd","3ba","613 Maertin Ln","Fullerton, CA","2,027 sqft"
Trulia,"$1,100,000","3 bd","3ba","1130 W Fern Dr","Fullerton, CA","3,965 sqft"
Trulia,"$590,000","4 bd","2ba","1475 Rolling Hills Dr","Fullerton, CA","1,847 sqft"
Trulia,"$328,000","2 bd","2ba","1541 S Pomona Ave #A39","Fullerton, CA","1,157 sqft"
Trulia,"$339,000","2 bd","2ba","2900 Madison Ave","Fullerton, CA","943 sqft"
Trulia,"$669,800","3 bd","3ba","610 Augusta Ct","Fullerton, CA","2,373 sqft"
Trulia,"$299,900","2 bd","1ba","628 Bridgeport Cir #7","Fullerton, CA","704 sqft"
Trulia,"$489,000","2 bd","2ba","165 Village Ct","Fullerton, CA","1,706 sqft"
Trulia,"$575,000","3 bd","2ba","2248 Clark Dr","Fullerton, CA",""
Trulia,"$439,000","2 bd","2ba","1259 Paseo Dorado #34","Fullerton, CA","1,181 sqft"
Trulia,"$1,099,000","5 bd","3ba","2920 Hawks Pointe Dr","Fullerton, CA","3,100 sqft"
Trulia,"$699,000","3 bd","2ba","813 Carhart Ave","Fullerton, CA","1,517 sqft"
Trulia,"$499,950","2 bd","2ba","654 W Glenwood Dr","Fullerton, CA",""
Trulia,"$549,000","4 bd","2ba","1472 W Maxzim Ave","Fullerton, CA","1,517 sqft"
Trulia,"$1,480,000","5 bd","5ba","448 Moderno Pl","Fullerton, CA","4,529 sqft"
Trulia,"$1,200,000","4 bd","4ba","1148 W Valley View Dr","Fullerton, CA","4,185 sqft"
Trulia,"$625,000","4 bd","4ba","1310 W Orange Blossom Way","Fullerton, CA","2,140 sqft"
Trulia,"$599,000","5 bd","","607 W Orangethorpe Ave","Fullerton, CA",""
Trulia,"$808,800","5 bd","3ba","2166 Winterwood Dr","Fullerton, CA","2,728 sqft"
Trulia,"$499,000","4 bd","2ba","212 E Rosslynn Ave","Fullerton, CA","1,371 sqft"
Trulia,"$265,000","1 bd","1ba","1601 S Pomona Ave #D6","Fullerton, CA","881 sqft"
Trulia,"$520,000","2 bd","2ba","1505 W Malvern Ave","Fullerton, CA","926 sqft"
Trulia,"$729,900","3 bd","3ba","1933 Saint Simons Pl","Fullerton, CA","2,271 sqft"
Trulia,"$248,888","1 bd","1ba","3062 Associated Rd","Fullerton, CA","676 sqft"
Trulia,"$164,900","1 bd","1ba","351 N Ford Ave #226","Fullerton, CA","462 sqft"
Trulia,"$899,000","5 bd","3ba","3000 Arlington Ave","Fullerton, CA","2,935 sqft"
Trulia,"$700,000","4 bd","2ba","2059 Seaview Dr","Fullerton, CA","1,912 sqft"
Trulia,"$1,288,000","3 bd","3ba","3010 Clearwood Ct","Fullerton, CA","3,345 sqft"
Trulia,"$1,350,000","5 bd","4ba","2932 Hawks Pointe Dr","Fullerton, CA","3,546 sqft"
Trulia,"$849,000","4 bd","2ba","1511 Camino Alto","Fullerton, CA","2,161 sqft"
