Source,Cost,Bed,Bath,Address,City,Size
Trulia,"$80,000","3 bd","2ba","8111 Stanford Ave #15","Garden Grove, CA","1,248 sqft"
Trulia,"$50,000","1 bd","1ba","8111 Stanford Ave #47","Garden Grove, CA","550 sqft"
Trulia,"$335,000","2 bd","2ba","12635 Main St #312","Garden Grove, CA","1,256 sqft"
Trulia,"$760,000","3 bd","3ba","11121 Barclay Dr","Garden Grove, CA","2,649 sqft"
Trulia,"$549,999","4 bd","3ba","10391 Bonnie Dr","Garden Grove, CA","1,973 sqft"
Trulia,"$375,000","3 bd","3ba","12812 Sussex Cir","Garden Grove, CA","1,320 sqft"
Trulia,"$619,000","4 bd","2ba","5742 Richmond Ave","Garden Grove, CA","1,430 sqft"
Trulia,"$418,000","3 bd","3ba","8520 Lake Knoll Ave #B","Garden Grove, CA","1,665 sqft"
Trulia,"$440,000","3 bd","1ba","8641 Mac Alpine Rd","Garden Grove, CA","879 sqft"
Trulia,"$519,900","4 bd","2ba","11341 Anabel Ave","Garden Grove, CA","1,274 sqft"
Trulia,"$737,000","6 bd","5ba","12442 Pentagon St","Garden Grove, CA","2,800 sqft"
Trulia,"$349,900","2 bd","2ba","12641 8th St","Garden Grove, CA","1,100 sqft"
Trulia,"$409,900","3 bd","3ba","11410 Brookhurst St","Garden Grove, CA","1,452 sqft"
Trulia,"$40,000","1 bd","1ba","13096 Blackbird St #19","Garden Grove, CA","600 sqft"
Trulia,"$669,000","4 bd","3ba","12102 Morrie Ln","Garden Grove, CA","2,464 sqft"
Trulia,"$650,000","5 bd","2ba","12702 Tunstall St","Garden Grove, CA","2,013 sqft"
Trulia,"$515,000","3 bd","2ba","11791 Medina Dr","Garden Grove, CA","1,587 sqft"
Trulia,"$723,500","4 bd","3ba","5691 Trinette Ave","Garden Grove, CA","2,411 sqft"
Trulia,"$667,500","3 bd","2ba","6661 Amy Ave","Garden Grove, CA","1,213 sqft"
Trulia,"$369,000","2 bd","2ba","13472 Whittier Ln","Garden Grove, CA","1,385 sqft"
Trulia,"$579,900","4 bd","3ba","13352 Havenwood Dr","Garden Grove, CA","2,290 sqft"
Trulia,"$1,698,000","","","9542 Alwood Ave","Garden Grove, CA",""
Trulia,"$525,000","3 bd","2ba","11952 Daniel Ave","Garden Grove, CA","1,238 sqft"
Trulia,"$525,000","3 bd","2ba","12342 Granite Pl","Garden Grove, CA","1,000 sqft"
Trulia,"$409,900","2 bd","2ba","12842 Palm St #302","Garden Grove, CA","1,154 sqft"
Trulia,"$635,000","4 bd","2ba","11761 Blackmer St","Garden Grove, CA","1,361 sqft"
Trulia,"$399,900","4 bd","3ba","11012 Cynthia Cir #1","Garden Grove, CA","1,304 sqft"
Trulia,"$550,000","5 bd","3ba","12632 Twintree Ln","Garden Grove, CA","1,850 sqft"
Trulia,"$681,212","4 bd","2ba","12121 Wutzke St","Garden Grove, CA","1,986 sqft"
Trulia,"$215,000","1 bd","1ba","10540 Lakeside Dr N #E","Garden Grove, CA","546 sqft"
Trulia,"$430,000","3 bd","3ba","12745 Newhope St","Garden Grove, CA","1,425 sqft"
Trulia,"$305,000","2 bd","2ba","12700 Josephine St #111","Garden Grove, CA","1,039 sqft"
